Epoch,Phase,Iteration,Accuracy,Loss
4,Training,8,0.5,0.367889096762008
4,Val,8,0.5,0.3646825453813811
8,Training,16,0.5,0.35955736629618956
8,Val,16,0.5,0.35775628880870286
12,Training,24,0.25,0.38207839103566843
12,Val,24,0.5,0.3539045739906931
16,Training,32,0.5,0.352296273611762
16,Val,32,0.5,0.35128916146690625
20,Training,40,0.5,0.35049789751129357
20,Val,40,0.5,0.3496408095528921
24,Training,48,0.5,0.3520951121714825
24,Val,48,0.5,0.34838835862830086
28,Training,56,0.0,0.37310628158132375
28,Val,56,0.5,0.3475552067413837
32,Training,64,0.5,0.35040462284442075
32,Val,64,0.5,0.3468857434249904
36,Training,72,0.5,0.3713223821900095
36,Val,72,0.5,0.346389254226796
40,Training,80,0.5,0.346827995598457
40,Val,80,0.5,0.3460218826882354
44,Training,88,0.5,0.3699214292093461
44,Val,88,0.75,0.34575350433905566
48,Training,96,0.75,0.34928798890031676
48,Val,96,0.75,0.3455333035036221
52,Training,104,0.5,0.34898777904136985
52,Val,104,0.75,0.3453205785317859
56,Training,112,0.5,0.3687271680337314
56,Val,112,0.75,0.3451503344343993
60,Training,120,0.25,0.3684674328669315
60,Val,120,0.5,0.34501344853671495
64,Training,128,0.25,0.3680432715296177
64,Val,128,0.5,0.34478303356433027
68,Training,136,0.5,0.34566364903776575
68,Val,136,0.5,0.34459780301019494
72,Training,144,0.5,0.34551398078162465
72,Val,144,0.5,0.3443939683266692
76,Training,152,0.5,0.3478995742841834
76,Val,152,0.5,0.3441823050112801
80,Training,160,0.5,0.36731779924977337
80,Val,160,0.5,0.3439288049567539
84,Training,168,0.5,0.34730158580818604
84,Val,168,0.5,0.34362271382977694
88,Training,176,0.5,0.34478674940219356
88,Val,176,0.5,0.3433131826145607
92,Training,184,0.25,0.3661713315179708
92,Val,184,0.5,0.3429959125486837
96,Training,192,0.5,0.34425295143909673
96,Val,192,0.75,0.34259876008494017
100,Training,200,0.5,0.3658956628877608
100,Val,200,0.5,0.34229599845646613
104,Training,208,0.5,0.3655779412804695
104,Val,208,0.5,0.34194172619093444
108,Training,216,0.5,0.3432842539326588
108,Val,216,0.5,0.34138957805646275
112,Training,224,0.25,0.36447729494066755
112,Val,224,0.75,0.3407829326759
116,Training,232,0.75,0.3423038841807108
116,Val,232,0.75,0.3402086599402501
120,Training,240,0.5,0.3418453991273326
120,Val,240,0.5,0.33969310456630586
124,Training,248,0.25,0.3630837806281412
124,Val,248,0.75,0.3390538719405574
128,Training,256,0.25,0.36262592334921895
128,Val,256,0.75,0.33835709836447614
132,Training,264,0.25,0.36204436349496616
132,Val,264,0.75,0.33778756233083457
136,Training,272,0.75,0.34076842497911686
136,Val,272,0.75,0.33696100671862783
140,Training,280,0.75,0.33892583928303893
140,Val,280,0.75,0.33616810138402525
144,Training,288,0.75,0.33836330720815655
144,Val,288,0.75,0.33534869731651495
148,Training,296,0.75,0.3375246856452728
148,Val,296,0.75,0.3345851925094198
152,Training,304,0.25,0.35913573232747986
152,Val,304,0.75,0.3337718660437142
156,Training,312,0.75,0.3361039137882522
156,Val,312,0.75,0.3329269110429052
160,Training,320,0.75,0.3359868766310854
160,Val,320,0.75,0.3320636846133259
164,Training,328,0.75,0.3567156346464253
164,Val,328,0.75,0.33157660161488767
168,Training,336,0.25,0.3562036844439527
168,Val,336,0.75,0.33036644564782924
172,Training,344,0.75,0.33335555777272485
172,Val,344,0.75,0.3295694598502442
176,Training,352,0.75,0.33206614656606914
176,Val,352,0.75,0.3286624986801669
180,Training,360,0.75,0.3321893108935541
180,Val,360,0.75,0.32782791008823914
184,Training,368,0.75,0.33117460594722575
184,Val,368,0.75,0.3267605135350491
188,Training,376,0.75,0.3303477544046852
188,Val,376,0.75,0.3257643519741893
192,Training,384,0.75,0.32966981018440655
192,Val,384,0.75,0.3250163433170612
196,Training,392,0.25,0.35124784688384525
196,Val,392,0.75,0.3241118392631439
200,Training,400,0.25,0.3504952193825217
200,Val,400,0.75,0.32318218734139714
204,Training,408,0.25,0.34960031791868573
204,Val,408,0.75,0.32228606681461636
208,Training,416,0.75,0.34747261606202606
208,Val,416,0.75,0.32182265786169384
212,Training,424,0.25,0.3481916535262059
212,Val,424,0.75,0.3207153828354362
216,Training,432,0.75,0.3252725828201691
216,Val,432,0.75,0.3198328842747714
220,Training,440,0.75,0.3233282343355063
220,Val,440,0.75,0.31948972215392546
224,Training,448,0.25,0.34606650243476633
224,Val,448,0.75,0.3181405483103776
228,Training,456,0.75,0.3229581292132711
228,Val,456,0.75,0.31730670983645554
232,Training,464,0.75,0.3223945327281036
232,Val,464,0.75,0.31638678041255247
236,Training,472,0.75,0.34196732357274284
236,Val,472,0.75,0.31605868753674893
240,Training,480,0.75,0.32096734679029737
240,Val,480,0.75,0.31452950687156495
244,Training,488,0.75,0.31974670988908627
244,Val,488,0.75,0.31334415485513867
248,Training,496,0.75,0.3392406012932374
248,Val,496,0.75,0.31277284666251914
252,Training,504,0.75,0.3180841754564049
252,Val,504,0.75,0.31115450509697773
256,Training,512,0.75,0.3155294660596868
256,Val,512,0.75,0.30972965385036805
260,Training,520,0.5,0.338385250771425
260,Val,520,0.75,0.30802405070217265
264,Training,528,0.75,0.3149251892182937
264,Val,528,0.75,0.30661309821479005
268,Training,536,0.75,0.3116279406662924
268,Val,536,0.75,0.3052295786894424
272,Training,544,0.75,0.3310711452915298
272,Val,544,0.75,0.3035082582486553
276,Training,552,0.75,0.3295406801589711
276,Val,552,0.75,0.3017835486011467
280,Training,560,0.75,0.3284109719098592
280,Val,560,0.75,0.3000921974397224
284,Training,568,0.5,0.33014472253915206
284,Val,568,0.75,0.2962704793819469
288,Training,576,0.75,0.30508115929412366
288,Val,576,0.75,0.29439945938847756
292,Training,584,0.75,0.3015654312777313
292,Val,584,0.75,0.2904430528983296
296,Training,592,0.75,0.29926539931840557
296,Val,592,0.75,0.2875399764826835
300,Training,600,0.75,0.31071262803854416
300,Val,600,0.75,0.2826173639639808
304,Training,608,0.5,0.3139880597625093
304,Val,608,0.75,0.2774088309684422
308,Training,616,0.75,0.2850028243500083
308,Val,616,0.75,0.27249045338067157
312,Training,624,0.75,0.27859034105991093
312,Val,624,0.75,0.2660189953896972
316,Training,632,0.75,0.28960586052630977
316,Val,632,0.75,0.2611266231817313
320,Training,640,0.75,0.26018820386256725
320,Val,640,1.0,0.2528365445743339
324,Training,648,0.75,0.25229610103587596
324,Val,648,1.0,0.2426533845464607
328,Training,656,1.0,0.24482071820500612
328,Val,656,1.0,0.23404808808330838
332,Training,664,1.0,0.23919838975583876
332,Val,664,1.0,0.22520437981044844
336,Training,672,1.0,0.22810288935138107
336,Val,672,1.0,0.214835192126551
340,Training,680,1.0,0.21584610930865689
340,Val,680,1.0,0.20497571462764025
344,Training,688,1.0,0.2213012346125906
344,Val,688,1.0,0.19748142795284598
348,Training,696,1.0,0.21902725985269977
348,Val,696,1.0,0.18271777112729062
352,Training,704,1.0,0.18178997978752115
352,Val,704,1.0,0.17526358527956779
356,Training,712,1.0,0.17133588856696913
356,Val,712,1.0,0.16537418627542777
360,Training,720,1.0,0.1673549434328392
360,Val,720,1.0,0.15642291960404572
364,Training,728,1.0,0.15663822743680456
364,Val,728,1.0,0.14875947935413267
368,Training,736,1.0,0.16916021382554683
368,Val,736,1.0,0.13819140344752126
372,Training,744,1.0,0.13770916858371388
372,Val,744,1.0,0.1314841651041273
376,Training,752,1.0,0.1302985251887069
376,Val,752,1.0,0.12593463398616328
380,Training,760,1.0,0.12537167712372202
380,Val,760,1.0,0.11968076549728657
384,Training,768,1.0,0.11747876341196155
384,Val,768,1.0,0.11143556123310112
388,Training,776,1.0,0.11472118978357707
388,Val,776,1.0,0.10717869595605814
392,Training,784,1.0,0.10577824770343372
392,Val,784,1.0,0.10058347692334393
396,Training,792,1.0,0.10397050108751232
396,Val,792,1.0,0.09710188099548003
400,Training,800,1.0,0.09872692151660015
400,Val,800,1.0,0.09253180290372076
404,Training,808,1.0,0.09226650838748093
404,Val,808,1.0,0.08887824040776829
408,Training,816,1.0,0.08615497151717107
408,Val,816,1.0,0.08359039391815654
412,Training,824,1.0,0.08484296911474248
412,Val,824,1.0,0.08046492614705111
416,Training,832,1.0,0.07948669619302406
416,Val,832,1.0,0.07722963742943868
420,Training,840,1.0,0.08720059360425006
420,Val,840,1.0,0.07274340123904596
424,Training,848,1.0,0.07597565922550031
424,Val,848,1.0,0.07184278901632996
428,Training,856,1.0,0.07392075670778181
428,Val,856,1.0,0.0695687704678704
432,Training,864,1.0,0.07057912054402189
432,Val,864,1.0,0.06675153356934226
436,Training,872,1.0,0.06506402777121228
